"","id","date","value"
"220","M750",2008-04-01,10150
"221","M750",2008-05-01,10110
"222","M750",2008-06-01,9970
"223","M750",2008-07-01,8930
"224","M750",2008-08-01,9020
"225","M750",2008-09-01,9200
"226","M750",2008-10-01,10090
"227","M750",2008-11-01,10260
"228","M750",2008-12-01,10330
"229","M750",2009-01-01,10360
"230","M750",2009-02-01,10350
"231","M750",2009-03-01,10560
"232","M750",2009-04-01,10600
"233","M750",2009-05-01,10660
"234","M750",2009-06-01,10580
"235","M750",2009-07-01,9420
"236","M750",2009-08-01,9770
"237","M750",2009-09-01,9680
"238","M750",2009-10-01,10400
"239","M750",2009-11-01,10560
"240","M750",2009-12-01,10600
"241","M750",2010-01-01,10560
"242","M750",2010-02-01,10550
"243","M750",2010-03-01,10790
"244","M750",2010-04-01,10810
"245","M750",2010-05-01,10780
"246","M750",2010-06-01,10710
"247","M750",2010-07-01,9060
"248","M750",2010-08-01,9610
"249","M750",2010-09-01,9770
"250","M750",2010-10-01,10340
"251","M750",2010-11-01,10480
"252","M750",2010-12-01,10180
"253","M750",2011-01-01,10390
"254","M750",2011-02-01,10400
"255","M750",2011-03-01,10590
"256","M750",2011-04-01,10600
"257","M750",2011-05-01,10580
"258","M750",2011-06-01,10300
"259","M750",2011-07-01,8800
"260","M750",2011-08-01,9360
"261","M750",2011-09-01,9650
"262","M750",2011-10-01,10280
"263","M750",2011-11-01,10410
"264","M750",2011-12-01,10240
"265","M750",2012-01-01,10380
"266","M750",2012-02-01,10390
"267","M750",2012-03-01,10580
"268","M750",2012-04-01,10560
"269","M750",2012-05-01,10570
"270","M750",2012-06-01,10240
"271","M750",2012-07-01,8720
"272","M750",2012-08-01,9340
"273","M750",2012-09-01,9650
"274","M750",2012-10-01,10480
"275","M750",2012-11-01,10630
"276","M750",2012-12-01,10490
"277","M750",2013-01-01,10550
"278","M750",2013-02-01,10540
"279","M750",2013-03-01,10720
"280","M750",2013-04-01,10700
"281","M750",2013-05-01,10750
"282","M750",2013-06-01,10540
"283","M750",2013-07-01,9030
"284","M750",2013-08-01,9620
"285","M750",2013-09-01,10050
"286","M750",2013-10-01,10610
"287","M750",2013-11-01,10760
"288","M750",2013-12-01,10570
"289","M750",2014-01-01,10730
"290","M750",2014-02-01,10660
"291","M750",2014-03-01,10900
"292","M750",2014-04-01,11020
"293","M750",2014-05-01,10940
"294","M750",2014-06-01,10770
"295","M750",2014-07-01,9340
"296","M750",2014-08-01,9900
"297","M750",2014-09-01,10360
"298","M750",2014-10-01,10950
"299","M750",2014-11-01,11120
"300","M750",2014-12-01,10990
"301","M750",2015-01-01,10980
"302","M750",2015-02-01,11010
"303","M750",2015-03-01,11250
"304","M750",2015-04-01,11290
"305","M750",2015-05-01,11310
"306","M750",2015-06-01,11000
